file_name,ground_truth,model_output,category,subcategory,language,character_error_rate,diacritics_expected,diacritics_produced,diacritic_loss
audio/01_script_names.wav,Aha m bụ Chukwuemeka. Nna m bụ Obiora. Nne m bụ Ngozi.,ahambụ cheku emeka nnam bụ ọbiọra nnem bụ ngọzi,script_hallucination,personal_names,ibo_Latn,0.485,3,6,-3
audio/02_script_formal.wav,Nnọọ. Kedu ka ị mere? Ọ dị mma. Daalụ.,nọ kedo ke imere ọ dị mma daalụ,script_hallucination,greetings,ibo_Latn,0.188,6,4,2
audio/03_script_numbers.wav,"Otu, abụọ, atọ, anọ, ise, isii, asaa, asatọ, itoolu, iri.",ọtu abuọ atọ anọ ise isi asa asatọ ìtọlu iri,script_hallucination,numeric,ibo_Latn,0.208,5,7,-2
audio/04_script_proverb.wav,Onye aghala nwanne ya.,onje agalá wánẹ yá,script_hallucination,idiomatic,ibo_Latn,0.4,0,4,-4
audio/05_script_slow.wav,Aha m bụ Chizoba. Kedu ka ị mere taa? Ọ dị mma.,aham bụ chizọba kedu ke imereta ọ dị mmaa,script_hallucination,prosody,ibo_Latn,0.159,4,4,0
audio/06_tonal_akwa.wav,"Akwa, akwa, akwa. Akwà, akwà, akwà. Àkwà, àkwà, àkwà. Ákwá, ákwá, ákwá.",akua akua akua akua akwa akwa akwa akua akwa ọkua ọkua ọkua,tonal_diacritics,minimal_pair,ibo_Latn,0.6,15,3,12
audio/07_tonal_oke.wav,"Oke, oke, oke. Òkè, òkè, òkè. Ọkè, ọkè, ọkè.",oke oke oke oke oke oke oke oke oki,tonal_diacritics,minimal_pair,ibo_Latn,0.418,12,0,12
audio/08_tonal_dense.wav,Ọ nà-èrì ọ̀jị̀ n'ụ̀tụ̀tụ̀.,ọ na eri ọjị n'ututu,tonal_diacritics,high_density,ibo_Latn,0.435,9,3,6
audio/09_tonal_flat.wav,O na-eri oji n'ututu.,ọne rị ọjí nụ tútú,tonal_diacritics,monotone,ibo_Latn,0.744,0,7,-7
audio/10_tonal_yoruba.wav,"Kí ló dé, kí ló ṣe lẹ́?",kílode kílo ṣele,tonal_diacritics,control_language,yor_Latn,0.385,7,3,4
audio/11_codeswitch_en2ig.wav,I'm going to the ọgbọ today with my ụmụnne.,iam going today ogbo today with my umun ne,code_switching,en_to_ig,mixed,0.224,4,0,4
audio/12_codeswitch_ig2en.wav,M ga-eje shopping taa. M chọrọ credit card m.,nga eje shọpịnta nchọrọ kridịkad m,code_switching,ig_to_en,mixed,0.367,2,5,-3
audio/13_codeswitch_alternate.wav,I need rice. M chọrọ ji. I want yam. M chọrọ akpu.,i nied ric nchọrọ ji i wọnt yam nchọrọ akpụ,code_switching,sentence_level,mixed,0.183,4,6,-2
audio/14_codeswitch_embedded.wav,The ụlọ is beautiful. My ụmụaka are playing.,te ulọ is beautiful my umuaka a playing,code_switching,with_diacritics,mixed,0.133,4,1,3
audio/15_codeswitch_pidgin.wav,"I wan chop rice. Abeg, give me water.",i want chop rice i beg give me water,code_switching,control_pidgin,pcm_Latn,0.096,0,0,0
audio/16_context_places.wav,M bi na Enugu. Nnà m sị Owerri. M ga Onitsha.,mbị na ịnugu nnamsigo weri nga ọnịcha,cultural_context,geographic,ibo_Latn,0.39,2,4,-2
audio/17_context_food.wav,M na-eri jollof rice na egusi soup. Ọ tọrọ ụtọ.,emna iri jelọfres na egusi suup ọtọrụ ụtọ,cultural_context,culinary,mixed,0.25,5,6,-1
audio/18_context_proverb.wav,"Ọnwa na-agbanwe, anyanwụ na-agbanwe, ma ala adịghị agbanwe.",owuana agbawe ayawu na agbawe mala adege agbawe,cultural_context,idiomatic,ibo_Latn,0.264,4,0,4
audio/19_context_french.wav,"Bonjour, comment ça va? Je m'appelle Chizoba. J'habite à Paris.",bondu komosova že ma pelčizoba jea bit apari,cultural_context,control_language,fra_Latn,0.402,1,0,1
audio/20_context_noise.wav,Aha m bụ Chizoba. Kedu ka ị mere taa? Ọ dị mma.,aha mbụchizọba kidụka imereta ọ dị mma,cultural_context,noise_robustness,ibo_Latn,0.2,4,5,-1
audio/21_tonal_yoruba_formal.wav,Ẹ káàárọ̀. Báwo ni?,ekaọrọ bawọ ni,tonal_diacritics,control_formal,yor_Latn,0.455,6,3,3
